Timestamp (h:m:s.ms.us.ns dur),Status,Address(7b),RW,Data,ASCII,Error,Information,
,,,,,,,*** Capture Started
13:28:12.710.205.280 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF* ,.................,, 
13:28:12.711.977.620 001.772ms,Start,58*,Wr,98* 98* 98* 98* 98* 98* 98* 98*   98* 98* 98* ,...........,, 
13:28:12.713.094.980 001.117ms,Repeat Start,58*,Rd,FF FF* ,..,, 
13:28:12.713.486.300 391.320us,Start,58*,Wr,99* ,.,, 
13:28:12.713.687.640 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF* ,..............,, 
13:28:12.715.178.140 001.490ms,Start,58*,Wr,9A* ,.,, 
13:28:12.715.379.480 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.717.236.440 001.856ms,Start,58*,Wr,9B* ,.,, 
13:28:12.717.437.780 201.340us,Repeat Start,58*,Rd,FF FF FF FF* ,....,, 
13:28:12.718.012.400 574.620us,Start,58*,Wr,9C* ,.,, 
